Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Int+2Sg	Aasiammiulerinngilatit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Par+1Sg	Aasiammiulerinngitsunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Par+1Sg+LI	Aasiammiulerinngitsungali
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Par+1Sg+LU	Aasiammiulerinngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+GALUAR+V+Ind+1Pl	Aasiammiulerissagaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+GALUAR+V+Ind+1Sg	Aasiammiulerissagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+GALUAR+V+Ind+3Sg	Aasiammiulerissagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+GALUAR+V+Int+2Sg	Aasiammiulerissagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+GALUAR+V+Par+1Sg	Aasiammiulerissagaluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Ind+1Pl	Aasiammiulerissanngilagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Ind+1Sg	Aasiammiulerissanngilanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Ind+3Sg	Aasiammiulerissanngilaq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Int+2Sg	Aasiammiulerissanngilatit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Par+1Sg	Aasiammiulerissanngitsunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Par+1Sg+LI	Aasiammiulerissanngitsungali
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+NNGIT+V+Par+1Sg+LU	Aasiammiulerissanngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Ind+1Pl	Aasiammiulerissaagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Ind+1Sg	Aasiammiulerissaanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Ind+3Sg	Aasiammiulerissaaq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Int+2Sg	Aasiammiulerissavit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Par+1Sg	Aasiammiulerissasunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Par+1Sg+LI	Aasiammiulerissasungali
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+SSA+V+Par+1Sg+LU	Aasiammiulerissasungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+GALUAR+V+Ind+1Pl	Aasiammiulerisaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+GALUAR+V+Ind+1Sg	Aasiammiulerisaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+GALUAR+V+Ind+3Sg	Aasiammiulerisaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+GALUAR+V+Int+2Sg	Aasiammiulerisaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+GALUAR+V+Par+1Sg	Aasiammiulerisaraluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulerisanngikkaluarpugut
